t_abs,phase,block,trial_idx_in_block,question_number,question_year,question_type,question_field,marker_name,marker_code,rt_from_phase,choice,correct,button_click_time,option_view_time,note
4.405168,experiment,START,-1,,,,,EXP_START,0,,,,,,Experiment started at 2025-10-24 15:02:50
6.029098,questionnaire,PRE,-1,,,,,QUESTIONNAIRE_ON,71,,,,,,Questionnaire start
10.310802,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,3.3146488999482244,fdf,,,,type=text
11.499100,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,1.188181999954395,Man,,,,type=choice
13.046513,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,1.547344799968414,g,,,,type=text
14.130542,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,1.0830019999993965,h,,,,type=text
14.130634,questionnaire,PRE,-1,,,,,QUESTIONNAIRE_OFF,72,,,,,,Questionnaire end
14.982229,block_start,C1,-1,,,,,BLK_ON,91,,,,,,C1 start (target 420s)
19.553864,iti,C1,1,64,2022,concrete,CH,ITI,99,4.571581099997275,,,,,ITI duration: 4.57s
19.577256,q_text_on,C1,1,64,2022,concrete,CH,Q_TEXT_ON,11,1.5300000086426735e-05,,,,,
20.820425,q_stem_on,C1,1,64,2022,concrete,CH,Q_STEM_ON,14,1.7700018361210823e-05,,,,,
20.853970,q_options_on,C1,1,64,2022,concrete,CH,Q_OPTIONS_ON,15,1.8700025975704193e-05,,,,,
