t_abs,phase,block,trial_idx_in_block,question_number,question_year,question_type,question_field,marker_name,marker_code,rt_from_phase,choice,correct,button_click_time,option_view_time,note
3.755484,experiment,START,-1,,,,,EXP_START,0,,,,,,Experiment started at 2025-10-24 15:01:23
5.103108,questionnaire,PRE,-1,,,,,QUESTIONNAIRE_ON,71,,,,,,Questionnaire start
10.733309,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,4.143410800024867,3,,,,type=text
13.221264,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,2.487832900020294,Man,,,,type=choice
16.889053,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,3.667707800050266,e2,,,,type=text
19.091330,questionnaire_item,PRE,-1,,,,,QNR_ITEM,0,2.2019023000029847,gf,,,,type=text
19.091424,questionnaire,PRE,-1,,,,,QUESTIONNAIRE_OFF,72,,,,,,Questionnaire end
20.896293,block_start,A1,-1,,,,,BLK_ON,91,,,,,,A1 start (target 420s)
25.032476,iti,A1,1,72,2018,abstract,CH,ITI,99,4.136023800005205,,,,,ITI duration: 4.12s
25.077284,q_text_on,A1,1,72,2018,abstract,CH,Q_TEXT_ON,11,1.6200006939470768e-05,,,,,
27.175998,q_stem_on,A1,1,72,2018,abstract,CH,Q_STEM_ON,14,1.6699894331395626e-05,,,,,
27.200553,q_options_on,A1,1,72,2018,abstract,CH,Q_OPTIONS_ON,15,1.6900012269616127e-05,,,,,
