t_abs,phase,block,trial_idx_in_block,question_number,question_year,question_type,question_field,marker_name,marker_code,rt_from_phase,choice,correct,button_click_time,option_view_time,note
5.099290,experiment,START,-1,,,,,EXP_START,0,,,,,,Experiment started at 2025-11-07 15:38:21
6.765349,questionnaire,PRE,-1,,,QNR,start,QUESTIONNAIRE_ON,71,,,,,,Questionnaire start
16.651533,questionnaire_item,PRE,-1,age,,QNR,Age (in years):,QNR_ITEM,0,,55,,,,qid=age; type=number; required=True
18.470747,questionnaire_item,PRE,-1,country_of_birth,,QNR,"Country of birth (write in plain text, no commas):",QNR_ITEM,0,,dcxvc,,,,qid=country_of_birth; type=text; required=True
20.241639,questionnaire_item,PRE,-1,nationality,,QNR,"Nationality (write in plain text, no commas):",QNR_ITEM,0,,ad,,,,qid=nationality; type=text; required=True
22.191079,questionnaire_item,PRE,-1,years_in_luxembourg,,QNR,Years living in Luxembourg (enter a number; use 0 if not living in LU):,QNR_ITEM,0,,3,,,,qid=years_in_luxembourg; type=number; required=True
25.345650,questionnaire_item,PRE,-1,gender,,QNR,Gender (write 'male' or 'female'):,QNR_ITEM,0,,male,,,,qid=gender; type=text; required=True
28.363970,questionnaire_item,PRE,-1,first_language,,QNR,First language (mother tongue) — write in plain text:,QNR_ITEM,0,,df,,,,qid=first_language; type=text; required=True
29.982355,questionnaire_item,PRE,-1,other_languages,,QNR,Other languages you are comfortable using — write in plain text:,QNR_ITEM,0,,asd,,,,qid=other_languages; type=text; required=False
31.000522,questionnaire_item,PRE,-1,affiliation,,QNR,"Current affiliation (e.g., Bachelor student, Master student, PhD candidate, university employee):",QNR_ITEM,0,,asd,,,,qid=affiliation; type=text; required=True
32.418198,questionnaire_item,PRE,-1,department_unit,,QNR,Department or Unit:,QNR_ITEM,0,,asd,,,,qid=department_unit; type=text; required=True
34.139373,questionnaire_item,PRE,-1,highest_degree,,QNR,"Highest degree completed (e.g., Upper-secondary, Bachelor, Master, Doctorate):",QNR_ITEM,0,,ad,,,,qid=highest_degree; type=text; required=True
34.970770,questionnaire_item,PRE,-1,degree_field,,QNR,"Field of highest degree (e.g., Computer Science, Economics):",QNR_ITEM,0,,ads,,,,qid=degree_field; type=text; required=True
35.687059,questionnaire_item,PRE,-1,country_secondary_ed,,QNR,Country where you completed most of your secondary education:,QNR_ITEM,0,,ads,,,,qid=country_secondary_ed; type=text; required=True
36.471669,questionnaire_item,PRE,-1,primary_school_langs,,QNR,Primary schooling language(s) — write in plain text as a sentence (no commas):,QNR_ITEM,0,,ads,,,,qid=primary_school_langs; type=text; required=True
37.305239,questionnaire_item,PRE,-1,parent_a_edu,,QNR,Parent/Guardian A — highest education:,QNR_ITEM,0,,sd,,,,qid=parent_a_edu; type=text; required=True
38.556560,questionnaire_item,PRE,-1,parent_b_edu,,QNR,Parent/Guardian B — highest education:,QNR_ITEM,0,,ads,,,,qid=parent_b_edu; type=text; required=True
39.807959,questionnaire_item,PRE,-1,first_gen_he,,QNR,"Are you first-generation in higher education? (answer in plain text, e.g., Yes / No / Don’t know):",QNR_ITEM,0,,sd,,,,qid=first_gen_he; type=text; required=True
40.643087,questionnaire_item,PRE,-1,living_arrangement,,QNR,Current living arrangement:,QNR_ITEM,0,,sd,,,,qid=living_arrangement; type=text; required=False
40.644571,questionnaire,PRE,-1,,,QNR,end,QUESTIONNAIRE_OFF,72,,,,,,Questionnaire end
43.035970,block_start,A1,-1,,,,,BLK_ON,91,,,,,,A1 start (target 420s)
47.516173,iti,A1,1,60,2022,abstract,CH,ITI,99,4.479992599983234,,,,,ITI duration: 4.47s
47.548072,q_text_on,A1,1,60,2022,abstract,CH,Q_TEXT_ON,11,3.090000245720148e-05,,,,,
51.023810,q_stem_on,A1,1,60,2022,abstract,CH,Q_STEM_ON,14,3.0199997127056122e-05,,,,,
52.732164,q_options_on,A1,1,60,2022,abstract,CH,Q_OPTIONS_ON,15,3.0800001695752144e-05,,,,,
